0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
ESGG,0,367,118,558,101,15,171,206,269,16,87,215,59,180,72
ESMS,367,0,90,417,77,11,113,174,173,12,66,147,43,126,54
ESPA,118,90,0,160,37,6,38,51,59,5,37,50,17,39,25
ESSA,558,417,160,0,141,20,186,243,283,21,119,248,78,185,99
ESNO,101,77,37,141,0,4,33,44,51,4,29,44,15,33,24
ESUP,15,11,6,20,4,0,5,6,7,1,4,6,2,5,3
ESFR,171,113,38,186,33,5,0,65,107,5,29,79,20,53,24
ESDF,206,174,51,243,44,6,65,0,99,7,38,85,24,73,31
ESIB,269,173,59,283,51,7,107,99,0,8,44,116,30,82,36
SE-0016,16,12,5,21,4,1,5,7,8,0,3,7,3,5,3
ESNS,87,66,37,119,29,4,29,38,44,3,0,37,12,29,19
ESGR,215,147,50,248,44,6,79,85,116,7,37,0,26,70,31
ESVM,59,43,17,78,15,2,20,24,30,3,12,26,0,19,11
ESMY,180,126,39,185,33,5,53,73,82,5,29,70,19,0,24
ESNB,72,54,25,99,24,3,24,31,36,3,19,31,11,24,0
